year,sex,name,n,prop
1880,F,Mary,7065,.07238359
1880,F,Emma,2003,.02052149
1880,F,Ida,1472,.01508119
1880,F,Helen,636,.0065160599
1880,F,Amanda,241,.0024691401
1880,F,Betty,117,.0011987099
1880,F,Dorothy,112,.00114748
1880,F,Linda,27,.00027662999
1880,F,Deborah,12,.00012293999
1880,F,Jessica,7,.000071720002
1881,F,Mary,6919,.069991402
1881,F,Emma,2034,.02057559
1881,F,Ida,1439,.01455667
1881,F,Helen,612,.00619089
1881,F,Amanda,263,.0026604601
1881,F,Betty,112,.00113297
1881,F,Dorothy,109,.00110263
1881,F,Linda,38,.00038439999
1881,F,Deborah,14,.00014162
1881,F,Jessica,7,.000070809998
1882,F,Mary,8148,.070426553
1882,F,Emma,2303,.019905791
1882,F,Ida,1673,.01446043
1882,F,Helen,838,.0072431802
1882,F,Amanda,288,.0024893
1882,F,Betty,123,.00106314
1882,F,Dorothy,115,.00099398999
1882,F,Linda,36,.00031115999
1882,F,Deborah,15,.00012965
1882,F,Jessica,8,.000069150003
1883,F,Mary,8012,.066733859
1883,F,Emma,2367,.019715309
1883,F,Ida,1634,.01360998
1883,F,Helen,862,.0071798
1883,F,Amanda,287,.0023904899
1883,F,Dorothy,141,.00117442
1883,F,Betty,120,.00099951006
1883,F,Linda,49,.00040813
1883,F,Deborah,16,.00013327
1883,F,Jessica,6,.000049980001
1884,F,Mary,9217,.06699083
1884,F,Emma,2587,.01880279
1884,F,Ida,1882,.01367872
1884,F,Helen,986,.0071664299
1884,F,Amanda,337,.00244938
1884,F,Dorothy,163,.00118471
1884,F,Betty,144,.00104662
1884,F,Linda,33,.00023984999
1884,F,Jessica,14,.00010175
1884,F,Deborah,13,.000094490002
1884,F,Patricia,6,.000043610002
1885,F,Mary,9128,.064305238
1885,F,Emma,2728,.019218311
1885,F,Ida,1854,.01306112
1885,F,Helen,1134,.0079888403
1885,F,Amanda,339,.0023882
1885,F,Dorothy,196,.00138079
1885,F,Betty,155,.00109195
1885,F,Linda,60,.00042269001
1885,F,Deborah,10,.000070449998
1885,F,Jessica,6,.00004227
1885,F,Patricia,5,.00003522
1886,F,Mary,9889,.064324968
1886,F,Emma,2764,.01797899
1886,F,Ida,2049,.01332813
1886,F,Helen,1267,.0082414504
1886,F,Amanda,370,.0024067401
1886,F,Dorothy,230,.00149608
1886,F,Betty,167,.00108628
1886,F,Linda,49,.00031872999
1886,F,Jessica,11,.000071549999
1886,F,Deborah,10,.000065050001
1886,F,Patricia,8,.000052039999
1887,F,Mary,9888,.063620336
1887,F,Emma,2647,.017031049
1887,F,Ida,1929,.01241137
1887,F,Helen,1405,.0090399003
1887,F,Amanda,338,.0021747199
1887,F,Dorothy,272,.00175007
1887,F,Betty,178,.00114527
1887,F,Linda,50,.0003217
1887,F,Deborah,15,.000096509997
1887,F,Patricia,10,.000064339998
1887,F,Jessica,8,.00005147
1888,F,Mary,11754,.06204439
1888,F,Emma,3087,.016294969
1888,F,Ida,2229,.01176595
1888,F,Helen,1847,.0097495299
1888,F,Amanda,404,.0021325501
1888,F,Dorothy,373,.00196891
1888,F,Betty,214,.00112962
1888,F,Linda,77,.00040645001
1888,F,Deborah,26,.00013724
1888,F,Jessica,18,.00009501
1888,F,Patricia,12,.000063339998
1889,F,Mary,11648,.061558299
1889,F,Emma,2884,.0152416
1889,F,Ida,2122,.01121452
1889,F,Helen,1909,.01008884
1889,F,Amanda,413,.0021826599
1889,F,Dorothy,377,.0019924
1889,F,Betty,189,.00099883997
1889,F,Linda,74,.00039107999
1889,F,Patricia,17,.000089840003
1889,F,Deborah,12,.000063419997
1889,F,Jessica,9,.000047559999
1890,F,Mary,12078,.059892591
1890,F,Emma,2980,.01477727
1890,F,Helen,2312,.01146478
1890,F,Ida,2178,.0108003
1890,F,Dorothy,458,.00227114
1890,F,Amanda,392,.00194386
1890,F,Betty,216,.0010711
1890,F,Linda,54,.00026778001
1890,F,Deborah,24,.00011901
1890,F,Jessica,18,.00008926
1890,F,Patricia,11,.000054550001
1891,F,Mary,11703,.059537251
1891,F,Emma,2884,.01467192
1891,F,Helen,2417,.01229612
1891,F,Ida,2002,.01018487
1891,F,Dorothy,566,.0028794401
1891,F,Amanda,371,.0018874099
1891,F,Betty,239,.00121588
1891,F,Linda,78,.00039681001
1891,F,Deborah,15,.000076310003
1891,F,Jessica,14,.000071219998
1891,F,Patricia,12,.000061049999
1892,F,Mary,13172,.058564872
1892,F,Emma,3128,.0139076
1892,F,Helen,2936,.01305394
1892,F,Ida,2259,.01004388
1892,F,Dorothy,626,.0027832999
1892,F,Amanda,455,.002023
1892,F,Betty,255,.00113377
1892,F,Linda,83,.00036902999
1892,F,Patricia,21,.000093369999
1892,F,Deborah,16,.000071139999
1892,F,Jessica,14,.000062250001
1893,F,Mary,12784,.056759249
1893,F,Helen,3249,.01442513
1893,F,Emma,2968,.01317752
1893,F,Ida,2247,.0099763796
1893,F,Dorothy,821,.00364513
1893,F,Amanda,387,.00171823
1893,F,Betty,298,.00132308
1893,F,Linda,82,.00036407
1893,F,Patricia,28,.00012431999
1893,F,Deborah,24,.00010656
1893,F,Jessica,15,.000066599998
1894,F,Mary,13151,.055731419
1894,F,Helen,3676,.01557819
1894,F,Emma,2937,.01244644
1894,F,Ida,2195,.0093019903
1894,F,Dorothy,1052,.0044581699
1894,F,Amanda,418,.0017714
1894,F,Betty,298,.00126287
1894,F,Linda,94,.00039835001
1894,F,Patricia,36,.00015255999
1894,F,Deborah,18,.000076279997
1894,F,Jessica,10,.000042380001
1895,F,Mary,13446,.0544139
1895,F,Helen,4023,.016280459
1895,F,Emma,2952,.01194629
1895,F,Ida,2170,.0087816603
1895,F,Dorothy,1127,.0045607998
1895,F,Amanda,431,.00174419
1895,F,Betty,350,.0014164
1895,F,Linda,96,.00038849999
1895,F,Patricia,35,.00014164
1895,F,Jessica,19,.000076889999
1895,F,Deborah,13,.000052610001
1896,F,Mary,13811,.054807082
1896,F,Helen,4392,.017429059
1896,F,Emma,2872,.01139714
1896,F,Ida,2159,.0085677002
1896,F,Dorothy,1366,.0054207901
1896,F,Amanda,367,.00145639
1896,F,Betty,342,.0013571799
1896,F,Linda,104,.00041271001
1896,F,Patricia,37,.00014683
1896,F,Deborah,18,.000071429997
1896,F,Jessica,9,.000035720001
1897,F,Mary,13413,.054024771
1897,F,Helen,4519,.01820159
1897,F,Emma,2698,.01086698
1897,F,Ida,2108,.0084905904
1897,F,Dorothy,1472,.0059289099
1897,F,Betty,367,.0014782
1897,F,Amanda,354,.00142584
1897,F,Linda,81,.00032625001
1897,F,Patricia,49,.00019736
1897,F,Deborah,23,.000092640003
1897,F,Jessica,9,.00003625
1898,F,Mary,14406,.052549031
1898,F,Helen,5230,.019077569
1898,F,Emma,2788,.01016984
1898,F,Ida,2090,.0076237302
1898,F,Dorothy,1671,.00609534
1898,F,Betty,421,.00153569
1898,F,Amanda,371,.0013532999
1898,F,Linda,102,.00037207
1898,F,Patricia,47,.00017144
1898,F,Deborah,21,.000076600001
1898,F,Jessica,13,.000047419999
1899,F,Mary,13172,.053222351
1899,F,Helen,5048,.02039678
1899,F,Emma,2445,.0098791895
1899,F,Ida,1804,.0072891801
1899,F,Dorothy,1687,.0068164398
1899,F,Betty,410,.00165663
1899,F,Amanda,326,.00131722
1899,F,Linda,98,.00039597999
1899,F,Patricia,56,.00022627
1899,F,Jessica,14,.000056569999
1899,F,Deborah,11,.00004445
1900,F,Mary,16706,.052575588
1900,F,Helen,6343,.01996211
1900,F,Emma,3095,.0097402995
1900,F,Dorothy,2491,.0078394497
1900,F,Ida,2285,.0071911402
1900,F,Betty,664,.0020896799
1900,F,Amanda,377,.00118646
1900,F,Linda,125,.00039338999
1900,F,Patricia,87,.00027379999
1900,F,Deborah,26,.000081819999
1900,F,Jessica,23,.000072379997
1901,F,Mary,13136,.051669952
1901,F,Helen,5247,.02063887
1901,F,Emma,2374,.0093380399
1901,F,Dorothy,2173,.0085474104
1901,F,Ida,1835,.0072178999
1901,F,Betty,473,.00186053
1901,F,Amanda,317,.00124691
1901,F,Linda,86,.00033827999
1901,F,Patricia,68,.00026748001
1901,F,Deborah,21,.000082600003
1901,F,Jessica,8,.000031470001
1902,F,Mary,14486,.051674072
1902,F,Helen,5967,.02128532
1902,F,Dorothy,2707,.0096563399
1902,F,Emma,2514,.0089678699
1902,F,Ida,1836,.00654933
1902,F,Betty,580,.0020689601
1902,F,Amanda,301,.0010737201
1902,F,Linda,91,.00032461001
1902,F,Patricia,85,.00030320999
1902,F,Deborah,21,.00007491
1902,F,Jessica,9,.000032100001
1903,F,Mary,14275,.051312741
1903,F,Helen,6129,.022031231
1903,F,Dorothy,3078,.01106414
1903,F,Emma,2308,.00829631
1903,F,Ida,1774,.0063768001
1903,F,Betty,596,.00214237
1903,F,Amanda,247,.00088786002
1903,F,Linda,90,.00032351
1903,F,Patricia,79,.00028397
1903,F,Deborah,21,.000075490003
1903,F,Jessica,16,.000057509998
1904,F,Mary,14961,.051159911
1904,F,Helen,6488,.02218605
1904,F,Dorothy,3477,.01188978
1904,F,Emma,2312,.0079060001
1904,F,Ida,1751,.0059876302
1904,F,Betty,707,.00241762
1904,F,Amanda,294,.00100535
1904,F,Patricia,124,.00042401999
1904,F,Linda,101,.00034537
1904,F,Deborah,23,.000078650002
1904,F,Jessica,16,.000054709999
1905,F,Mary,16067,.051851612
1905,F,Helen,6811,.021980541
1905,F,Dorothy,3937,.01270553
1905,F,Emma,2298,.00741613
1905,F,Ida,1757,.0056702099
1905,F,Betty,807,.00260436
1905,F,Amanda,311,.00100366
1905,F,Patricia,121,.00039048999
1905,F,Linda,105,.00033886
1905,F,Deborah,18,.000058090001
1905,F,Jessica,17,.00005486
1906,F,Mary,16370,.052226901
1906,F,Helen,7176,.02289433
1906,F,Dorothy,4326,.01380168
1906,F,Emma,2224,.0070954598
1906,F,Ida,1753,.0055927802
1906,F,Betty,865,.0027596999
1906,F,Amanda,260,.00082949997
1906,F,Patricia,157,.00050089002
1906,F,Linda,98,.00031266001
1906,F,Deborah,25,.000079760001
