ms12,ms16,r12,r16
Married or pacsed couple,Married or pacsed couple,71398.992,55370.133
Married or pacsed couple,Married or pacsed couple,14196.495,19134.807
Married or pacsed couple,Married or pacsed couple,51698.816,12495.068
Married or pacsed couple,Married or pacsed couple,9227.7227,14879.222
Isolated parent,Married or pacsed couple,,22165.473
Married or pacsed couple,Married or pacsed couple,22457.676,23857.516
Married or pacsed couple,Isolated parent,22714.393,18748.207
Married or pacsed couple,Married or pacsed couple,20633.814,27948.174
Married or pacsed couple,Married or pacsed couple,92048.211,86810.438
,Isolated parent,,10824.281
Married or pacsed couple,Isolated parent,19066.252,28723.465
Married or pacsed couple,Married or pacsed couple,18030.561,14879.222
Married or pacsed couple,Married or pacsed couple,22221.031,22172.344
Married or pacsed couple,Married or pacsed couple,78371.039,41922.262
Cohabitant,Isolated parent,15551.482,27539.092
Cohabitant,Cohabitant,17459.383,16749.982
Married or pacsed couple,Married or pacsed couple,23587.088,15307.847
Married or pacsed couple,Married or pacsed couple,53219.371,56875.809
Isolated parent,Isolated parent,15578.458,13597.655
Cohabitant,Cohabitant,22084.566,11154.937
,,,
Married or pacsed couple,Married or pacsed couple,21294.744,19425.188
Isolated parent,Isolated parent,13491.341,12498.805
Married or pacsed couple,Married or pacsed couple,51292.195,44647.891
Married or pacsed couple,Married or pacsed couple,32398.92,20410.463
Married or pacsed couple,Married or pacsed couple,33694.879,22757.822
Married or pacsed couple,Married or pacsed couple,24953.031,43966.262
Married or pacsed couple,Married or pacsed couple,39546.367,21370.32
Isolated parent,Isolated parent,,18748.207
Isolated parent,Isolated parent,17035.795,
,Isolated parent,,26969.49
Married or pacsed couple,Married or pacsed couple,6117.0024,15371.496
Married or pacsed couple,Married or pacsed couple,67371.602,56728.844
Married or pacsed couple,Married or pacsed couple,42147.742,44358.07
Married or pacsed couple,Married or pacsed couple,46830.824,58246.184
Married or pacsed couple,Married or pacsed couple,132393.7,130308.36
Married or pacsed couple,Married or pacsed couple,28098.492,41922.262
Married or pacsed couple,Married or pacsed couple,,38269.613
Married or pacsed couple,Married or pacsed couple,36454.117,54135.617
,Married or pacsed couple,,24151.98
Married or pacsed couple,Married or pacsed couple,42062.445,28343.713
Cohabitant,Cohabitant,14196.495,7805.165
Married or pacsed couple,Married or pacsed couple,49952.875,49392.148
Married or pacsed couple,Married or pacsed couple,13467.979,13187.335
Married or pacsed couple,Married or pacsed couple,53219.371,59869.273
Isolated parent,Isolated parent,31232.291,25510.16
Married or pacsed couple,Married or pacsed couple,64961.934,130308.36
Isolated parent,Isolated parent,31698.277,28269.748
Married or pacsed couple,Married or pacsed couple,28392.99,18590.957
Married or pacsed couple,Married or pacsed couple,36293.887,34371.711
Married or pacsed couple,Married or pacsed couple,31220.549,26100.596
Isolated parent,Married or pacsed couple,21472.719,40621.113
Isolated parent,Isolated parent,9598.584,5228.9639
Married or pacsed couple,Married or pacsed couple,82495.828,90133.164
Married or pacsed couple,Married or pacsed couple,40586.711,49630.039
Married or pacsed couple,Married or pacsed couple,19439.352,28589.592
Married or pacsed couple,Married or pacsed couple,61871.879,70376.297
Married or pacsed couple,Isolated parent,43814.035,28864.754
Isolated parent,Isolated parent,24377.77,26513.969
Isolated parent,Married or pacsed couple,17459.383,26573.086
Married or pacsed couple,Married or pacsed couple,50474.93,39061.898
Married or pacsed couple,Married or pacsed couple,33649.953,34935.219
Married or pacsed couple,Isolated parent,12906.813,13555.267
Married or pacsed couple,Married or pacsed couple,39415.941,21757.021
Married or pacsed couple,Cohabitant,35052.039,41922.262
Married or pacsed couple,Married or pacsed couple,12776.847,16002.902
Married or pacsed couple,Married or pacsed couple,25395.465,32101.109
Married or pacsed couple,Married or pacsed couple,26756.111,26400.283
Married or pacsed couple,Married or pacsed couple,53219.371,13967.721
Married or pacsed couple,Married or pacsed couple,10365.945,14821.969
Married or pacsed couple,Married or pacsed couple,31220.549,39914.555
Married or pacsed couple,Married or pacsed couple,24728.832,18982.559
Married or pacsed couple,Married or pacsed couple,28392.99,27948.174
Married or pacsed couple,Cohabitant,53219.371,59869.273
Married or pacsed couple,Married or pacsed couple,53891.324,62175.367
Isolated parent,Isolated parent,25150.594,40621.113
Married or pacsed couple,Married or pacsed couple,61871.879,67669.516
Married or pacsed couple,Married or pacsed couple,44866.609,50075.441
Married or pacsed couple,Married or pacsed couple,33642.992,33703.887
Married or pacsed couple,Married or pacsed couple,20584.918,25513.078
Married or pacsed couple,Married or pacsed couple,43626.313,44647.891
Married or pacsed couple,Married or pacsed couple,57781.027,50649.559
Married or pacsed couple,Married or pacsed couple,46830.824,53699.98
Married or pacsed couple,Cohabitant,41318.836,23435.258
Married or pacsed couple,Married or pacsed couple,48018.73,55167.086
Married or pacsed couple,Married or pacsed couple,59173.215,59959.301
Married or pacsed couple,Married or pacsed couple,36454.117,31371.998
Married or pacsed couple,Married or pacsed couple,48730.887,51393.695
Married or pacsed couple,Married or pacsed couple,,42096.578
Married or pacsed couple,Married or pacsed couple,43093.004,50888.879
Married or pacsed couple,Isolated parent,56260.477,36080.938
Isolated parent,Isolated parent,15464.098,8837.9893
Married or pacsed couple,Married or pacsed couple,40660.363,40820.926
Married or pacsed couple,Married or pacsed couple,33234.715,40411.758
Isolated parent,Cohabitant,24337.318,15516.175
Married or pacsed couple,Married or pacsed couple,37525.387,18721.037
Married or pacsed couple,Married or pacsed couple,17988.453,24801.547
Married or pacsed couple,Married or pacsed couple,25919.137,22961.771
Married or pacsed couple,Married or pacsed couple,45943.844,34935.219
Married or pacsed couple,Married or pacsed couple,35903.629,35604.016
Married or pacsed couple,Married or pacsed couple,60306.961,75853.953
Married or pacsed couple,Married or pacsed couple,23808.246,52385.609
Married or pacsed couple,Married or pacsed couple,42201.723,54819.941
Married or pacsed couple,Married or pacsed couple,18943.977,34371.711
Married or pacsed couple,Married or pacsed couple,28152.498,42096.578
Married or pacsed couple,Married or pacsed couple,115549.36,89803.914
Married or pacsed couple,Married or pacsed couple,71355.938,85656.148
Married or pacsed couple,Married or pacsed couple,28109.061,28064.385
Married or pacsed couple,Married or pacsed couple,26618.432,17627.729
Married or pacsed couple,Married or pacsed couple,42147.742,18591.205
Married or pacsed couple,Married or pacsed couple,35153.332,27231.254
Married or pacsed couple,Married or pacsed couple,35153.332,27231.254
Married or pacsed couple,Married or pacsed couple,31195.396,34935.219
Married or pacsed couple,Married or pacsed couple,29971.576,7084.0039
Married or pacsed couple,Married or pacsed couple,39258.277,23192.307
Married or pacsed couple,Married or pacsed couple,,13540.371
Isolated parent,Isolated parent,18143.395,13193.971
Married or pacsed couple,Married or pacsed couple,23327.225,4723.2754
Married or pacsed couple,Married or pacsed couple,18455.445,18857.109
Married or pacsed couple,Married or pacsed couple,39025.684,39058.762
Married or pacsed couple,Married or pacsed couple,14372.496,14172.312
Married or pacsed couple,Married or pacsed couple,72986.563,81203.422
Married or pacsed couple,Married or pacsed couple,31232.291,23755.947
Married or pacsed couple,Married or pacsed couple,18455.445,26400.283
Isolated parent,Isolated parent,29641.775,36080.938
Married or pacsed couple,Married or pacsed couple,31220.549,43966.262
Isolated parent,Isolated parent,19618.355,33142.461
Married or pacsed couple,Married or pacsed couple,44866.609,27948.174
Married or pacsed couple,Married or pacsed couple,,27948.174
,,,
Married or pacsed couple,Married or pacsed couple,36454.117,29052.1
Married or pacsed couple,Married or pacsed couple,44909.441,31891.346
Married or pacsed couple,Isolated parent,39711.324,20310.557
Married or pacsed couple,Married or pacsed couple,46830.824,49539.137
Married or pacsed couple,Isolated parent,20396.99,10049.105
Married or pacsed couple,Married or pacsed couple,39258.277,23755.947
Married or pacsed couple,Married or pacsed couple,39025.684,31891.822
Married or pacsed couple,Married or pacsed couple,25553.693,16310.892
Married or pacsed couple,Married or pacsed couple,15653.655,18832.234
Married or pacsed couple,Isolated parent,15162.623,23435.258
Married or pacsed couple,Married or pacsed couple,26829.869,23847.758
Married or pacsed couple,Married or pacsed couple,19197.168,34927.996
Married or pacsed couple,Married or pacsed couple,40586.711,39058.762
Married or pacsed couple,Married or pacsed couple,,64167.742
Isolated parent,Isolated parent,6733.9893,13316.599
Married or pacsed couple,Married or pacsed couple,33692.867,18748.207
Married or pacsed couple,Married or pacsed couple,36454.117,35144.277
Married or pacsed couple,Married or pacsed couple,32398.92,22961.771
Married or pacsed couple,Married or pacsed couple,16900.869,16768.906
Married or pacsed couple,Married or pacsed couple,17035.795,27948.174
Isolated parent,Isolated parent,12829.318,14240.842
Married or pacsed couple,Married or pacsed couple,40940.777,16631.113
Married or pacsed couple,Married or pacsed couple,31220.549,29185.215
Isolated parent,Married or pacsed couple,6348.8662,7270.7754
Married or pacsed couple,Married or pacsed couple,26412.596,21182.248
Isolated parent,Isolated parent,31742.059,25328.773
Married or pacsed couple,Married or pacsed couple,28392.99,33703.887
Married or pacsed couple,Married or pacsed couple,22352.123,10128.276
Married or pacsed couple,Married or pacsed couple,45768.594,52385.609
Married or pacsed couple,Married or pacsed couple,54647.707,43193.773
Married or pacsed couple,Married or pacsed couple,46830.824,47895.418
Married or pacsed couple,Married or pacsed couple,28795.75,27990.834
Married or pacsed couple,Married or pacsed couple,43708.77,43405.219
Married or pacsed couple,Isolated parent,43708.77,21648.563
Married or pacsed couple,Married or pacsed couple,48730.887,51393.695
Married or pacsed couple,Married or pacsed couple,,39422.563
Married or pacsed couple,Married or pacsed couple,51325.078,77295.047
Married or pacsed couple,Married or pacsed couple,,
Married or pacsed couple,Married or pacsed couple,50689.102,56875.809
Married or pacsed couple,Married or pacsed couple,57432.824,58246.184
Married or pacsed couple,Married or pacsed couple,56083.258,60902.57
Married or pacsed couple,Married or pacsed couple,60822.133,29337.078
Married or pacsed couple,Cohabitant,35929.422,51393.695
,,,
Married or pacsed couple,Married or pacsed couple,31220.549,50888.879
Married or pacsed couple,Married or pacsed couple,35748.418,42096.578
Married or pacsed couple,Married or pacsed couple,35876.215,41908.488
Married or pacsed couple,Married or pacsed couple,22714.393,23755.947
Married or pacsed couple,Married or pacsed couple,45092.352,54135.617
Married or pacsed couple,Isolated parent,28392.99,17185.855
Married or pacsed couple,Married or pacsed couple,38041.898,44541.195
Married or pacsed couple,Married or pacsed couple,53219.371,52385.609
Isolated parent,Married or pacsed couple,14460.475,17185.855
Isolated parent,Isolated parent,17062.576,17185.855
Married or pacsed couple,Isolated parent,46830.824,32379.768
Married or pacsed couple,Married or pacsed couple,32398.92,24740.617
Married or pacsed couple,Married or pacsed couple,47604.438,41922.262
Married or pacsed couple,Married or pacsed couple,54739.922,56235.625
Married or pacsed couple,Married or pacsed couple,71207.133,67352.93
Married or pacsed couple,Married or pacsed couple,22714.393,23620.52
Married or pacsed couple,Married or pacsed couple,20104.742,29828.213
Married or pacsed couple,Married or pacsed couple,52211.664,42828.074
Married or pacsed couple,Married or pacsed couple,21582.643,13019.588
Married or pacsed couple,Isolated parent,21635.012,17772.375
Cohabitant,Cohabitant,19046.598,8383.2256
Isolated parent,Isolated parent,13400.639,21648.563
Isolated parent,Isolated parent,14790.37,19844.516
Isolated parent,Married or pacsed couple,,21587.518
Married or pacsed couple,Isolated parent,4232.5776,21724.676
