country,pop,year,continent,gdppercap,lifeexp,af_lf,am_lf,as_lf,oc_lf,eu_lf
Afghanistan,7840000,1952,Asia,2460,33.59999847412109,,,33.599998,,
Afghanistan,8400000,1957,Asia,2590,37.09999847412109,,,37.099998,,
Afghanistan,9170000,1962,Asia,2680,40.79999923706055,,,40.799999,,
Afghanistan,10200000,1967,Asia,2600,44.5,,,44.5,,
Afghanistan,11500000,1972,Asia,2030,46.79999923706055,,,46.799999,,
Afghanistan,12900000,1977,Asia,2040,47.5,,,47.5,,
Afghanistan,13200000,1982,Asia,2500,44.59999847412109,,,44.599998,,
Afghanistan,11700000,1987,Asia,2360,45.5,,,45.5,,
Afghanistan,13300000,1992,Asia,1520,52.90000152587891,,,52.900002,,
Afghanistan,18900000,1997,Asia,865,53.70000076293945,,,53.700001,,
Afghanistan,21600000,2002,Asia,1020,55.59999847412109,,,55.599998,,
Afghanistan,26400000,2007,Asia,1250,58,,,58,,
Albania,1290000,1952,Europe,1860,54.79999923706055,,,,,54.799999
Albania,1460000,1957,Europe,2260,58.90000152587891,,,,,58.900002
Albania,1690000,1962,Europe,2690,64.19999694824219,,,,,64.199997
Albania,1950000,1967,Europe,3220,66.30000305175781,,,,,66.300003
Albania,2200000,1972,Europe,3860,68.09999847412109,,,,,68.099998
Albania,2460000,1977,Europe,4120,70.80000305175781,,,,,70.800003
Albania,2740000,1982,Europe,4230,72,,,,,72
Albania,3040000,1987,Europe,4360,72.59999847412109,,,,,72.599998
Albania,3280000,1992,Europe,3020,73.40000152587891,,,,,73.400002
Albania,3100000,1997,Europe,4060,72.5,,,,,72.5
Albania,3130000,2002,Europe,6240,75.30000305175781,,,,,75.300003
Albania,3060000,2007,Europe,8450,76.90000152587891,,,,,76.900002
Algeria,9020000,1952,Africa,4810,48,48,,,,
Algeria,10000000,1957,Africa,6320,50.79999923706055,50.799999,,,,
Algeria,11300000,1962,Africa,4910,53.70000076293945,53.700001,,,,
Algeria,12900000,1967,Africa,6700,56.5,56.5,,,,
Algeria,14900000,1972,Africa,8410,58.79999923706055,58.799999,,,,
Algeria,17100000,1977,Africa,9810,61.20000076293945,61.200001,,,,
Algeria,19800000,1982,Africa,11400,65.09999847412109,65.099998,,,,
Algeria,23100000,1987,Africa,11200,70.19999694824219,70.199997,,,,
Algeria,26400000,1992,Africa,9870,72.5,72.5,,,,
Algeria,29300000,1997,Africa,9510,73.19999694824219,73.199997,,,,
Algeria,31500000,2002,Africa,10900,74.5,74.5,,,,
Algeria,33600000,2007,Africa,12600,75.69999694824219,75.699997,,,,
Angola,4620000,1952,Africa,3340,36,36,,,,
